sale_id,sale_datetime,model_id,shoe_size,quantity_sold,total_sale_amount,discount_amount,store_name,payment_method,receipt_number,cashier_id,return_flag
1,2026-03-01 10:05:09,100,39.0,1,5031.00,559.00,radeo_drive,card,RAD-20260301-01959,RAD_03,f
2,2026-03-01 10:10:34,51,36.0,1,6550.00,0.00,academ,card,ACA-20260301-00011,ACA_02,f
3,2026-03-01 10:15:53,302,38.0,2,13400.00,0.00,atmosphera,cash,ATM-20260301-01520,ATM_05,f
4,2026-03-01 10:28:55,408,41.0,1,12790.00,0.00,radeo_drive,card,RAD-20260301-01960,RAD_06,f
5,2026-03-01 10:38:04,282,40.0,1,5850.00,0.00,academ,card,ACA-20260301-00004,ACA_03,f
6,2026-03-01 10:42:59,200,40.0,1,5832.00,1458.00,atmosphera,card,ATM-20260301-01519,ATM_05,f
7,2026-03-01 10:52:47,248,37.5,1,8090.00,0.00,atmosphera,card,ATM-20260301-01508,ATM_04,f
8,2026-03-01 11:00:55,289,41.0,1,6525.00,725.00,nord,card,NOR-20260301-00533,NOR_01,f
9,2026-03-01 11:45:20,205,40.0,3,16050.00,0.00,nord,card,NOR-20260301-00529,NOR_02,f
10,2026-03-01 12:05:51,257,40.0,1,9000.00,0.00,atmosphera,card,ATM-20260301-01521,ATM_05,f
11,2026-03-01 13:09:55,245,40.0,1,8217.50,432.50,atmosphera,card,ATM-20260301-01512,ATM_05,f
12,2026-03-01 13:19:35,437,41.0,1,4950.00,0.00,atmosphera,cash,ATM-20260301-01516,ATM_05,f
13,2026-03-01 13:27:12,190,39.0,1,5600.00,0.00,nord,sbp,NOR-20260301-00540,NOR_01,f
14,2026-03-01 13:31:01,333,43.0,1,6890.00,0.00,academ,card,ACA-20260301-00012,ACA_06,f
15,2026-03-01 13:35:10,275,39.0,1,10790.00,0.00,academ,card,ACA-20260301-00016,ACA_03,f
16,2026-03-01 13:40:32,309,44.0,1,13761.50,2428.50,academ,card,ACA-20260301-00010,ACA_02,f
17,2026-03-01 13:49:52,210,39.0,1,12850.00,0.00,city_mall,card,CIT-20260301-01045,CIT_02,f
18,2026-03-01 14:07:59,8,38.0,1,4750.00,0.00,nord,sbp,NOR-20260301-00539,NOR_02,t
19,2026-03-01 14:14:33,103,37.0,1,4491.00,499.00,nord,cash,NOR-20260301-00545,NOR_01,f
20,2026-03-01 14:19:10,312,39.0,1,8790.00,0.00,radeo_drive,cash,RAD-20260301-01962,RAD_03,f
21,2026-03-01 14:19:46,294,39.0,1,11950.00,0.00,nord,card,NOR-20260301-00543,NOR_01,f
22,2026-03-01 14:39:34,329,45.0,1,15990.00,0.00,atmosphera,sbp,ATM-20260301-01517,ATM_05,f
23,2026-03-01 14:48:40,395,44.0,1,4900.00,0.00,city_mall,card,CIT-20260301-01044,CIT_03,f
24,2026-03-01 14:49:37,93,40.0,1,3790.00,0.00,city_mall,card,CIT-20260301-01048,CIT_06,t
25,2026-03-01 14:50:27,365,43.0,1,4250.00,750.00,radeo_drive,card,RAD-20260301-01957,RAD_06,t
